,age,country,country-year,gdp_for_year ($),gdp_per_capita ($),generation,population,salaries,sex,suicides/100k pop,suicides_no,year
11890,55-74 years,Iceland,Iceland2003,11316441660.0,42174.0,Silent,21464.0,3655.4,male,27.95,6.0,2003.0
11891,15-24 years,Iceland,Iceland2003,11316441660.0,42174.0,Millenials,21857.0,3655.4,male,22.88,5.0,2003.0
11892,35-54 years,Iceland,Iceland2003,11316441660.0,42174.0,Boomers,40516.0,3655.4,male,19.75,8.0,2003.0
11893,55-74 years,Iceland,Iceland2003,11316441660.0,42174.0,Silent,22054.0,3655.4,female,18.14,4.0,2003.0
11894,25-34 years,Iceland,Iceland2003,11316441660.0,42174.0,Generation X,20281.0,3655.4,female,4.93,1.0,2003.0
11895,25-34 years,Iceland,Iceland2003,11316441660.0,42174.0,Generation X,20791.0,3655.4,male,4.81,1.0,2003.0
11896,35-54 years,Iceland,Iceland2003,11316441660.0,42174.0,Boomers,39836.0,3655.4,female,2.51,1.0,2003.0
11897,15-24 years,Iceland,Iceland2003,11316441660.0,42174.0,Millenials,21105.0,3655.4,female,0.0,0.0,2003.0
11898,5-14 years,Iceland,Iceland2003,11316441660.0,42174.0,Millenials,21939.0,3655.4,female,0.0,0.0,2003.0
11899,75+ years,Iceland,Iceland2003,11316441660.0,42174.0,Silent,9063.0,3655.4,female,0.0,0.0,2003.0
11900,5-14 years,Iceland,Iceland2003,11316441660.0,42174.0,Millenials,22892.0,3655.4,male,0.0,0.0,2003.0
11901,75+ years,Iceland,Iceland2003,11316441660.0,42174.0,Silent,6532.0,3655.4,male,0.0,0.0,2003.0
11902,75+ years,Iceland,Iceland2004,13722824251.0,50528.0,Silent,6720.0,4282.4,male,44.64,3.0,2004.0
11903,15-24 years,Iceland,Iceland2004,13722824251.0,50528.0,Millenials,21991.0,4282.4,male,27.28,6.0,2004.0
11904,35-54 years,Iceland,Iceland2004,13722824251.0,50528.0,Boomers,41248.0,4282.4,male,21.82,9.0,2004.0
11905,25-34 years,Iceland,Iceland2004,13722824251.0,50528.0,Generation X,20526.0,4282.4,female,19.49,4.0,2004.0
11906,25-34 years,Iceland,Iceland2004,13722824251.0,50528.0,Generation X,21106.0,4282.4,male,18.95,4.0,2004.0
11907,55-74 years,Iceland,Iceland2004,13722824251.0,50528.0,Silent,22162.0,4282.4,male,18.05,4.0,2004.0
11908,55-74 years,Iceland,Iceland2004,13722824251.0,50528.0,Silent,22573.0,4282.4,female,8.86,2.0,2004.0
11909,35-54 years,Iceland,Iceland2004,13722824251.0,50528.0,Boomers,40199.0,4282.4,female,4.98,2.0,2004.0
11910,15-24 years,Iceland,Iceland2004,13722824251.0,50528.0,Millenials,21091.0,4282.4,female,4.74,1.0,2004.0
11911,5-14 years,Iceland,Iceland2004,13722824251.0,50528.0,Millenials,21899.0,4282.4,female,0.0,0.0,2004.0
11912,75+ years,Iceland,Iceland2004,13722824251.0,50528.0,Silent,9282.0,4282.4,female,0.0,0.0,2004.0
11913,5-14 years,Iceland,Iceland2004,13722824251.0,50528.0,Millenials,22791.0,4282.4,male,0.0,0.0,2004.0
11914,25-34 years,Iceland,Iceland2005,16691490114.0,60712.0,Generation X,21570.0,5486.6,male,27.82,6.0,2005.0
11915,35-54 years,Iceland,Iceland2005,16691490114.0,60712.0,Boomers,41539.0,5486.6,male,24.07,10.0,2005.0
11916,55-74 years,Iceland,Iceland2005,16691490114.0,60712.0,Silent,22932.0,5486.6,male,21.8,5.0,2005.0
11917,35-54 years,Iceland,Iceland2005,16691490114.0,60712.0,Boomers,40540.0,5486.6,female,14.8,6.0,2005.0
11918,15-24 years,Iceland,Iceland2005,16691490114.0,60712.0,Millenials,22100.0,5486.6,male,13.57,3.0,2005.0
11919,55-74 years,Iceland,Iceland2005,16691490114.0,60712.0,Silent,23186.0,5486.6,female,12.94,3.0,2005.0
11920,15-24 years,Iceland,Iceland2005,16691490114.0,60712.0,Millenials,21198.0,5486.6,female,0.0,0.0,2005.0
11921,25-34 years,Iceland,Iceland2005,16691490114.0,60712.0,Generation X,20904.0,5486.6,female,0.0,0.0,2005.0
11922,5-14 years,Iceland,Iceland2005,16691490114.0,60712.0,Millenials,21721.0,5486.6,female,0.0,0.0,2005.0
11923,75+ years,Iceland,Iceland2005,16691490114.0,60712.0,Silent,9566.0,5486.6,female,0.0,0.0,2005.0
11924,5-14 years,Iceland,Iceland2005,16691490114.0,60712.0,Millenials,22712.0,5486.6,male,0.0,0.0,2005.0
11925,75+ years,Iceland,Iceland2005,16691490114.0,60712.0,Silent,6961.0,5486.6,male,0.0,0.0,2005.0
11926,15-24 years,Iceland,Iceland2006,17048647568.0,60243.0,Millenials,22771.0,5479.7,male,26.35,6.0,2006.0
11927,35-54 years,Iceland,Iceland2006,17048647568.0,60243.0,Boomers,44013.0,5479.7,male,22.72,10.0,2006.0
11928,55-74 years,Iceland,Iceland2006,17048647568.0,60243.0,Silent,23812.0,5479.7,male,16.8,4.0,2006.0
11929,35-54 years,Iceland,Iceland2006,17048647568.0,60243.0,Boomers,40957.0,5479.7,female,14.65,6.0,2006.0
11930,55-74 years,Iceland,Iceland2006,17048647568.0,60243.0,Silent,23797.0,5479.7,female,12.61,3.0,2006.0
11931,25-34 years,Iceland,Iceland2006,17048647568.0,60243.0,Generation X,23135.0,5479.7,male,8.64,2.0,2006.0
11932,25-34 years,Iceland,Iceland2006,17048647568.0,60243.0,Generation X,21650.0,5479.7,female,4.62,1.0,2006.0
11933,15-24 years,Iceland,Iceland2006,17048647568.0,60243.0,Millenials,21657.0,5479.7,female,0.0,0.0,2006.0
11934,5-14 years,Iceland,Iceland2006,17048647568.0,60243.0,Millenials,21538.0,5479.7,female,0.0,0.0,2006.0
11935,75+ years,Iceland,Iceland2006,17048647568.0,60243.0,Silent,9927.0,5479.7,female,0.0,0.0,2006.0
11936,5-14 years,Iceland,Iceland2006,17048647568.0,60243.0,Millenials,22494.0,5479.7,male,0.0,0.0,2006.0
11937,75+ years,Iceland,Iceland2006,17048647568.0,60243.0,Silent,7248.0,5479.7,male,0.0,0.0,2006.0
11938,75+ years,Iceland,Iceland2007,21319946740.0,73590.0,Silent,7454.0,6615.6,male,40.25,3.0,2007.0
11939,15-24 years,Iceland,Iceland2007,21319946740.0,73590.0,Millenials,23231.0,6615.6,male,30.13,7.0,2007.0
11940,35-54 years,Iceland,Iceland2007,21319946740.0,73590.0,Boomers,45690.0,6615.6,male,26.26,12.0,2007.0
11941,25-34 years,Iceland,Iceland2007,21319946740.0,73590.0,Generation X,24445.0,6615.6,male,24.54,6.0,2007.0
11942,75+ years,Iceland,Iceland2007,21319946740.0,73590.0,Silent,10165.0,6615.6,female,9.84,1.0,2007.0
11943,25-34 years,Iceland,Iceland2007,21319946740.0,73590.0,Generation X,22098.0,6615.6,female,9.05,2.0,2007.0
11944,55-74 years,Iceland,Iceland2007,21319946740.0,73590.0,Silent,24464.0,6615.6,female,8.18,2.0,2007.0
11945,55-74 years,Iceland,Iceland2007,21319946740.0,73590.0,Silent,24652.0,6615.6,male,8.11,2.0,2007.0
11946,15-24 years,Iceland,Iceland2007,21319946740.0,73590.0,Millenials,22072.0,6615.6,female,4.53,1.0,2007.0
11947,35-54 years,Iceland,Iceland2007,21319946740.0,73590.0,Boomers,41594.0,6615.6,female,2.4,1.0,2007.0
11948,5-14 years,Iceland,Iceland2007,21319946740.0,73590.0,Generation Z,21535.0,6615.6,female,0.0,0.0,2007.0
11949,5-14 years,Iceland,Iceland2007,21319946740.0,73590.0,Generation Z,22312.0,6615.6,male,0.0,0.0,2007.0
11950,55-74 years,Iceland,Iceland2008,17658408759.0,59489.0,Silent,25539.0,4376.7,male,27.41,7.0,2008.0
11951,35-54 years,Iceland,Iceland2008,17658408759.0,59489.0,Boomers,46462.0,4376.7,male,21.52,10.0,2008.0
11952,55-74 years,Iceland,Iceland2008,17658408759.0,59489.0,Silent,25254.0,4376.7,female,19.8,5.0,2008.0
11953,25-34 years,Iceland,Iceland2008,17658408759.0,59489.0,Generation X,25691.0,4376.7,male,19.46,5.0,2008.0
11954,15-24 years,Iceland,Iceland2008,17658408759.0,59489.0,Millenials,24143.0,4376.7,male,16.57,4.0,2008.0
11955,75+ years,Iceland,Iceland2008,17658408759.0,59489.0,Silent,7603.0,4376.7,male,13.15,1.0,2008.0
11956,35-54 years,Iceland,Iceland2008,17658408759.0,59489.0,Boomers,42525.0,4376.7,female,9.41,4.0,2008.0
11957,25-34 years,Iceland,Iceland2008,17658408759.0,59489.0,Generation X,22818.0,4376.7,female,8.77,2.0,2008.0
11958,15-24 years,Iceland,Iceland2008,17658408759.0,59489.0,Millenials,22861.0,4376.7,female,0.0,0.0,2008.0
11959,5-14 years,Iceland,Iceland2008,17658408759.0,59489.0,Generation Z,21461.0,4376.7,female,0.0,0.0,2008.0
11960,75+ years,Iceland,Iceland2008,17658408759.0,59489.0,Silent,10302.0,4376.7,female,0.0,0.0,2008.0
11961,5-14 years,Iceland,Iceland2008,17658408759.0,59489.0,Generation Z,22177.0,4376.7,male,0.0,0.0,2008.0
11962,55-74 years,Iceland,Iceland2009,12944114736.0,43700.0,Silent,26267.0,3433.1,male,38.07,10.0,2009.0
11963,25-34 years,Iceland,Iceland2009,12944114736.0,43700.0,Generation X,24715.0,3433.1,male,24.28,6.0,2009.0
11964,35-54 years,Iceland,Iceland2009,12944114736.0,43700.0,Boomers,44805.0,3433.1,male,22.32,10.0,2009.0
11965,35-54 years,Iceland,Iceland2009,12944114736.0,43700.0,Boomers,42732.0,3433.1,female,14.04,6.0,2009.0
11966,75+ years,Iceland,Iceland2009,12944114736.0,43700.0,Silent,7788.0,3433.1,male,12.84,1.0,2009.0
11967,15-24 years,Iceland,Iceland2009,12944114736.0,43700.0,Millenials,23991.0,3433.1,male,8.34,2.0,2009.0
11968,55-74 years,Iceland,Iceland2009,12944114736.0,43700.0,Silent,26010.0,3433.1,female,3.84,1.0,2009.0
11969,15-24 years,Iceland,Iceland2009,12944114736.0,43700.0,Millenials,22973.0,3433.1,female,0.0,0.0,2009.0
11970,25-34 years,Iceland,Iceland2009,12944114736.0,43700.0,Generation X,22959.0,3433.1,female,0.0,0.0,2009.0
11971,5-14 years,Iceland,Iceland2009,12944114736.0,43700.0,Generation Z,21382.0,3433.1,female,0.0,0.0,2009.0
11972,75+ years,Iceland,Iceland2009,12944114736.0,43700.0,Silent,10439.0,3433.1,female,0.0,0.0,2009.0
11973,5-14 years,Iceland,Iceland2009,12944114736.0,43700.0,Generation Z,22143.0,3433.1,male,0.0,0.0,2009.0
11974,75+ years,Iceland,Iceland2010,13310567803.0,45179.0,Silent,7930.0,3529.4,male,37.83,3.0,2010.0
11975,25-34 years,Iceland,Iceland2010,13310567803.0,45179.0,Generation X,23610.0,3529.4,male,33.88,8.0,2010.0
11976,55-74 years,Iceland,Iceland2010,13310567803.0,45179.0,Silent,26976.0,3529.4,male,25.95,7.0,2010.0
11977,35-54 years,Iceland,Iceland2010,13310567803.0,45179.0,Generation X,43584.0,3529.4,male,25.24,11.0,2010.0
11978,15-24 years,Iceland,Iceland2010,13310567803.0,45179.0,Millenials,23905.0,3529.4,male,25.1,6.0,2010.0
11979,35-54 years,Iceland,Iceland2010,13310567803.0,45179.0,Generation X,42526.0,3529.4,female,11.76,5.0,2010.0
11980,55-74 years,Iceland,Iceland2010,13310567803.0,45179.0,Silent,26898.0,3529.4,female,11.15,3.0,2010.0
11981,5-14 years,Iceland,Iceland2010,13310567803.0,45179.0,Generation Z,21935.0,3529.4,male,4.56,1.0,2010.0
11982,25-34 years,Iceland,Iceland2010,13310567803.0,45179.0,Generation X,22558.0,3529.4,female,4.43,1.0,2010.0
11983,15-24 years,Iceland,Iceland2010,13310567803.0,45179.0,Millenials,22907.0,3529.4,female,4.37,1.0,2010.0
11984,5-14 years,Iceland,Iceland2010,13310567803.0,45179.0,Generation Z,21185.0,3529.4,female,0.0,0.0,2010.0
11985,75+ years,Iceland,Iceland2010,13310567803.0,45179.0,Silent,10606.0,3529.4,female,0.0,0.0,2010.0
11986,25-34 years,Iceland,Iceland2011,14732689535.0,49861.0,Millenials,23085.0,3966.8,male,21.66,5.0,2011.0
11987,55-74 years,Iceland,Iceland2011,14732689535.0,49861.0,Boomers,27936.0,3966.8,male,21.48,6.0,2011.0
11988,35-54 years,Iceland,Iceland2011,14732689535.0,49861.0,Generation X,43120.0,3966.8,male,18.55,8.0,2011.0
11989,15-24 years,Iceland,Iceland2011,14732689535.0,49861.0,Millenials,24083.0,3966.8,male,8.3,2.0,2011.0
11990,55-74 years,Iceland,Iceland2011,14732689535.0,49861.0,Boomers,27822.0,3966.8,female,7.19,2.0,2011.0
11991,5-14 years,Iceland,Iceland2011,14732689535.0,49861.0,Generation Z,21828.0,3966.8,male,4.58,1.0,2011.0
11992,25-34 years,Iceland,Iceland2011,14732689535.0,49861.0,Millenials,22337.0,3966.8,female,4.48,1.0,2011.0
11993,15-24 years,Iceland,Iceland2011,14732689535.0,49861.0,Millenials,22926.0,3966.8,female,4.36,1.0,2011.0
11994,35-54 years,Iceland,Iceland2011,14732689535.0,49861.0,Generation X,42475.0,3966.8,female,2.35,1.0,2011.0
11995,5-14 years,Iceland,Iceland2011,14732689535.0,49861.0,Generation Z,21068.0,3966.8,female,0.0,0.0,2011.0
11996,75+ years,Iceland,Iceland2011,14732689535.0,49861.0,Silent,10762.0,3966.8,female,0.0,0.0,2011.0
11997,75+ years,Iceland,Iceland2011,14732689535.0,49861.0,Silent,8033.0,3966.8,male,0.0,0.0,2011.0
11998,25-34 years,Iceland,Iceland2012,14292008745.0,48083.0,Millenials,22931.0,3900.8,male,30.53,7.0,2012.0
11999,75+ years,Iceland,Iceland2012,14292008745.0,48083.0,Silent,8207.0,3900.8,male,24.37,2.0,2012.0
12000,55-74 years,Iceland,Iceland2012,14292008745.0,48083.0,Boomers,28966.0,3900.8,male,20.71,6.0,2012.0
12001,35-54 years,Iceland,Iceland2012,14292008745.0,48083.0,Generation X,42696.0,3900.8,male,18.74,8.0,2012.0
12002,55-74 years,Iceland,Iceland2012,14292008745.0,48083.0,Boomers,28784.0,3900.8,female,13.9,4.0,2012.0
12003,15-24 years,Iceland,Iceland2012,14292008745.0,48083.0,Millenials,24210.0,3900.8,male,12.39,3.0,2012.0
12004,25-34 years,Iceland,Iceland2012,14292008745.0,48083.0,Millenials,22249.0,3900.8,female,8.99,2.0,2012.0
12005,15-24 years,Iceland,Iceland2012,14292008745.0,48083.0,Millenials,22968.0,3900.8,female,8.71,2.0,2012.0
12006,35-54 years,Iceland,Iceland2012,14292008745.0,48083.0,Generation X,42450.0,3900.8,female,7.07,3.0,2012.0
12007,5-14 years,Iceland,Iceland2012,14292008745.0,48083.0,Generation Z,21068.0,3900.8,female,0.0,0.0,2012.0
12008,75+ years,Iceland,Iceland2012,14292008745.0,48083.0,Silent,10882.0,3900.8,female,0.0,0.0,2012.0
12009,5-14 years,Iceland,Iceland2012,14292008745.0,48083.0,Generation Z,21827.0,3900.8,male,0.0,0.0,2012.0
12010,75+ years,Iceland,Iceland2013,15548321544.0,51749.0,Silent,8368.0,4302.1,male,59.75,5.0,2013.0
12011,25-34 years,Iceland,Iceland2013,15548321544.0,51749.0,Millenials,23318.0,4302.1,male,30.02,7.0,2013.0
12012,35-54 years,Iceland,Iceland2013,15548321544.0,51749.0,Generation X,42535.0,4302.1,male,28.21,12.0,2013.0
12013,75+ years,Iceland,Iceland2013,15548321544.0,51749.0,Silent,10950.0,4302.1,female,27.4,3.0,2013.0
12014,15-24 years,Iceland,Iceland2013,15548321544.0,51749.0,Millenials,24215.0,4302.1,male,20.65,5.0,2013.0
12015,55-74 years,Iceland,Iceland2013,15548321544.0,51749.0,Boomers,29974.0,4302.1,male,20.02,6.0,2013.0
12016,25-34 years,Iceland,Iceland2013,15548321544.0,51749.0,Millenials,22445.0,4302.1,female,13.37,3.0,2013.0
12017,35-54 years,Iceland,Iceland2013,15548321544.0,51749.0,Generation X,42524.0,4302.1,female,11.76,5.0,2013.0
12018,55-74 years,Iceland,Iceland2013,15548321544.0,51749.0,Boomers,29831.0,4302.1,female,10.06,3.0,2013.0
12019,15-24 years,Iceland,Iceland2013,15548321544.0,51749.0,Millenials,22970.0,4302.1,female,0.0,0.0,2013.0
12020,5-14 years,Iceland,Iceland2013,15548321544.0,51749.0,Generation Z,21275.0,4302.1,female,0.0,0.0,2013.0
12021,5-14 years,Iceland,Iceland2013,15548321544.0,51749.0,Generation Z,22051.0,4302.1,male,0.0,0.0,2013.0
12022,75+ years,Iceland,Iceland2014,17304033021.0,56833.0,Silent,8491.0,4847.0,male,58.89,5.0,2014.0
12023,25-34 years,Iceland,Iceland2014,17304033021.0,56833.0,Millenials,23711.0,4847.0,male,37.96,9.0,2014.0
12024,55-74 years,Iceland,Iceland2014,17304033021.0,56833.0,Boomers,31027.0,4847.0,male,25.78,8.0,2014.0
12025,15-24 years,Iceland,Iceland2014,17304033021.0,56833.0,Millenials,24185.0,4847.0,male,16.54,4.0,2014.0
12026,35-54 years,Iceland,Iceland2014,17304033021.0,56833.0,Generation X,42731.0,4847.0,male,16.38,7.0,2014.0
12027,35-54 years,Iceland,Iceland2014,17304033021.0,56833.0,Generation X,42655.0,4847.0,female,9.38,4.0,2014.0
12028,75+ years,Iceland,Iceland2014,17304033021.0,56833.0,Silent,11043.0,4847.0,female,9.06,1.0,2014.0
12029,25-34 years,Iceland,Iceland2014,17304033021.0,56833.0,Millenials,22708.0,4847.0,female,8.81,2.0,2014.0
12030,15-24 years,Iceland,Iceland2014,17304033021.0,56833.0,Millenials,22989.0,4847.0,female,8.7,2.0,2014.0
12031,55-74 years,Iceland,Iceland2014,17304033021.0,56833.0,Boomers,30942.0,4847.0,female,6.46,2.0,2014.0
12032,5-14 years,Iceland,Iceland2014,17304033021.0,56833.0,Generation Z,21544.0,4847.0,female,0.0,0.0,2014.0
12033,5-14 years,Iceland,Iceland2014,17304033021.0,56833.0,Generation Z,22446.0,4847.0,male,0.0,0.0,2014.0
12034,15-24 years,Iceland,Iceland2015,16942247374.0,54909.0,Millenials,24116.0,4656.4,male,29.03,7.0,2015.0
12035,35-54 years,Iceland,Iceland2015,16942247374.0,54909.0,Generation X,43119.0,4656.4,male,25.51,11.0,2015.0
12036,25-34 years,Iceland,Iceland2015,16942247374.0,54909.0,Millenials,24128.0,4656.4,male,24.87,6.0,2015.0
12037,55-74 years,Iceland,Iceland2015,16942247374.0,54909.0,Boomers,32013.0,4656.4,female,18.74,6.0,2015.0
12038,75+ years,Iceland,Iceland2015,16942247374.0,54909.0,Silent,11158.0,4656.4,female,17.92,2.0,2015.0
12039,55-74 years,Iceland,Iceland2015,16942247374.0,54909.0,Boomers,32159.0,4656.4,male,15.55,5.0,2015.0
12040,35-54 years,Iceland,Iceland2015,16942247374.0,54909.0,Generation X,42858.0,4656.4,female,4.67,2.0,2015.0
12041,25-34 years,Iceland,Iceland2015,16942247374.0,54909.0,Millenials,22913.0,4656.4,female,4.36,1.0,2015.0
12042,15-24 years,Iceland,Iceland2015,16942247374.0,54909.0,Millenials,22962.0,4656.4,female,0.0,0.0,2015.0
12043,5-14 years,Iceland,Iceland2015,16942247374.0,54909.0,Generation Z,21738.0,4656.4,female,0.0,0.0,2015.0
12044,5-14 years,Iceland,Iceland2015,16942247374.0,54909.0,Generation Z,22771.0,4656.4,male,0.0,0.0,2015.0
12045,75+ years,Iceland,Iceland2015,16942247374.0,54909.0,Silent,8619.0,4656.4,male,0.0,0.0,2015.0
12046,25-34 years,Iceland,Iceland2016,20304098101.0,64708.0,Millenials,25029.0,5526.6,male,31.96,8.0,2016.0
12047,55-74 years,Iceland,Iceland2016,20304098101.0,64708.0,Boomers,33247.0,5526.6,male,30.08,10.0,2016.0
12048,35-54 years,Iceland,Iceland2016,20304098101.0,64708.0,Generation X,44024.0,5526.6,male,24.99,11.0,2016.0
12049,15-24 years,Iceland,Iceland2016,20304098101.0,64708.0,Millenials,24099.0,5526.6,male,24.9,6.0,2016.0
12050,75+ years,Iceland,Iceland2016,20304098101.0,64708.0,Silent,8723.0,5526.6,male,11.46,1.0,2016.0
12051,25-34 years,Iceland,Iceland2016,20304098101.0,64708.0,Millenials,23233.0,5526.6,female,8.61,2.0,2016.0
12052,55-74 years,Iceland,Iceland2016,20304098101.0,64708.0,Boomers,32963.0,5526.6,female,6.07,2.0,2016.0
12053,15-24 years,Iceland,Iceland2016,20304098101.0,64708.0,Millenials,22971.0,5526.6,female,0.0,0.0,2016.0
12054,35-54 years,Iceland,Iceland2016,20304098101.0,64708.0,Generation X,43216.0,5526.6,female,0.0,0.0,2016.0
12055,75+ years,Iceland,Iceland2016,20304098101.0,64708.0,Silent,11268.0,5526.6,female,0.0,0.0,2016.0
12056,55-74 years,Ireland,Ireland1985,21295486383.0,6638.0,G.I. Generation,251800.0,,male,25.81,65.0,1985.0
12057,25-34 years,Ireland,Ireland1985,21295486383.0,6638.0,Boomers,251000.0,,male,18.73,47.0,1985.0
12058,15-24 years,Ireland,Ireland1985,21295486383.0,6638.0,Generation X,314400.0,,male,15.27,48.0,1985.0
12059,35-54 years,Ireland,Ireland1985,21295486383.0,6638.0,Silent,367300.0,,male,13.89,51.0,1985.0
12060,55-74 years,Ireland,Ireland1985,21295486383.0,6638.0,G.I. Generation,274200.0,,female,7.66,21.0,1985.0
12061,75+ years,Ireland,Ireland1985,21295486383.0,6638.0,G.I. Generation,56000.0,,male,7.14,4.0,1985.0
12062,35-54 years,Ireland,Ireland1985,21295486383.0,6638.0,Silent,353200.0,,female,6.8,24.0,1985.0
12063,25-34 years,Ireland,Ireland1985,21295486383.0,6638.0,Boomers,248300.0,,female,4.43,11.0,1985.0
12064,75+ years,Ireland,Ireland1985,21295486383.0,6638.0,G.I. Generation,85900.0,,female,1.16,1.0,1985.0
12065,15-24 years,Ireland,Ireland1985,21295486383.0,6638.0,Generation X,303600.0,,female,0.99,3.0,1985.0
12066,5-14 years,Ireland,Ireland1985,21295486383.0,6638.0,Generation X,360200.0,,male,0.28,1.0,1985.0
12067,5-14 years,Ireland,Ireland1985,21295486383.0,6638.0,Generation X,342300.0,,female,0.0,0.0,1985.0
12068,55-74 years,Ireland,Ireland1986,28748960471.0,8937.0,G.I. Generation,249700.0,,male,24.83,62.0,1986.0
12069,25-34 years,Ireland,Ireland1986,28748960471.0,8937.0,Boomers,251300.0,,male,18.7,47.0,1986.0
12070,35-54 years,Ireland,Ireland1986,28748960471.0,8937.0,Silent,372400.0,,male,15.04,56.0,1986.0
12071,15-24 years,Ireland,Ireland1986,28748960471.0,8937.0,Generation X,314000.0,,male,14.01,44.0,1986.0
12072,75+ years,Ireland,Ireland1986,28748960471.0,8937.0,G.I. Generation,56700.0,,male,8.82,5.0,1986.0
12073,35-54 years,Ireland,Ireland1986,28748960471.0,8937.0,Silent,358500.0,,female,6.97,25.0,1986.0
12074,55-74 years,Ireland,Ireland1986,28748960471.0,8937.0,G.I. Generation,273000.0,,female,6.59,18.0,1986.0
12075,25-34 years,Ireland,Ireland1986,28748960471.0,8937.0,Boomers,249900.0,,female,5.2,13.0,1986.0
12076,15-24 years,Ireland,Ireland1986,28748960471.0,8937.0,Generation X,303500.0,,female,3.29,10.0,1986.0
12077,75+ years,Ireland,Ireland1986,28748960471.0,8937.0,G.I. Generation,87100.0,,female,1.15,1.0,1986.0
12078,5-14 years,Ireland,Ireland1986,28748960471.0,8937.0,Generation X,359200.0,,male,0.28,1.0,1986.0
12079,5-14 years,Ireland,Ireland1986,28748960471.0,8937.0,Generation X,341400.0,,female,0.0,0.0,1986.0
12080,55-74 years,Ireland,Ireland1987,33961142322.0,10515.0,G.I. Generation,247700.0,,male,23.42,58.0,1987.0
12081,25-34 years,Ireland,Ireland1987,33961142322.0,10515.0,Boomers,251100.0,,male,15.53,39.0,1987.0
12082,35-54 years,Ireland,Ireland1987,33961142322.0,10515.0,Silent,380400.0,,male,14.2,54.0,1987.0
12083,15-24 years,Ireland,Ireland1987,33961142322.0,10515.0,Generation X,313100.0,,male,9.26,29.0,1987.0
12084,75+ years,Ireland,Ireland1987,33961142322.0,10515.0,G.I. Generation,58500.0,,male,8.55,5.0,1987.0
12085,75+ years,Ireland,Ireland1987,33961142322.0,10515.0,G.I. Generation,89800.0,,female,6.68,6.0,1987.0
12086,55-74 years,Ireland,Ireland1987,33961142322.0,10515.0,G.I. Generation,272000.0,,female,6.25,17.0,1987.0
12087,35-54 years,Ireland,Ireland1987,33961142322.0,10515.0,Silent,366500.0,,female,5.73,21.0,1987.0
12088,25-34 years,Ireland,Ireland1987,33961142322.0,10515.0,Boomers,250700.0,,female,3.19,8.0,1987.0
12089,15-24 years,Ireland,Ireland1987,33961142322.0,10515.0,Generation X,301200.0,,female,2.32,7.0,1987.0
12090,5-14 years,Ireland,Ireland1987,33961142322.0,10515.0,Generation X,340100.0,,female,0.29,1.0,1987.0
12091,5-14 years,Ireland,Ireland1987,33961142322.0,10515.0,Generation X,358600.0,,male,0.0,0.0,1987.0
12092,75+ years,Ireland,Ireland1988,37818134253.0,11696.0,G.I. Generation,59600.0,,male,25.17,15.0,1988.0
12093,25-34 years,Ireland,Ireland1988,37818134253.0,11696.0,Boomers,248600.0,,male,20.11,50.0,1988.0
12094,55-74 years,Ireland,Ireland1988,37818134253.0,11696.0,G.I. Generation,246600.0,,male,19.06,47.0,1988.0
12095,15-24 years,Ireland,Ireland1988,37818134253.0,11696.0,Generation X,312200.0,,male,15.05,47.0,1988.0
12096,35-54 years,Ireland,Ireland1988,37818134253.0,11696.0,Silent,388200.0,,male,9.27,36.0,1988.0
12097,35-54 years,Ireland,Ireland1988,37818134253.0,11696.0,Silent,374900.0,,female,8.54,32.0,1988.0
12098,55-74 years,Ireland,Ireland1988,37818134253.0,11696.0,G.I. Generation,271500.0,,female,6.63,18.0,1988.0
12099,25-34 years,Ireland,Ireland1988,37818134253.0,11696.0,Boomers,249000.0,,female,5.22,13.0,1988.0
12100,75+ years,Ireland,Ireland1988,37818134253.0,11696.0,G.I. Generation,91600.0,,female,2.18,2.0,1988.0
12101,15-24 years,Ireland,Ireland1988,37818134253.0,11696.0,Generation X,298100.0,,female,2.01,6.0,1988.0
12102,5-14 years,Ireland,Ireland1988,37818134253.0,11696.0,Generation X,337800.0,,female,0.0,0.0,1988.0
12103,5-14 years,Ireland,Ireland1988,37818134253.0,11696.0,Generation X,355400.0,,male,0.0,0.0,1988.0
12104,35-54 years,Ireland,Ireland1989,39285385088.0,12188.0,Silent,397500.0,,male,19.37,77.0,1989.0
12105,75+ years,Ireland,Ireland1989,39285385088.0,12188.0,G.I. Generation,60700.0,,male,18.12,11.0,1989.0
12106,25-34 years,Ireland,Ireland1989,39285385088.0,12188.0,Boomers,242200.0,,male,17.34,42.0,1989.0
12107,55-74 years,Ireland,Ireland1989,39285385088.0,12188.0,G.I. Generation,245400.0,,male,17.11,42.0,1989.0
12108,15-24 years,Ireland,Ireland1989,39285385088.0,12188.0,Generation X,307900.0,,male,13.32,41.0,1989.0
12109,55-74 years,Ireland,Ireland1989,39285385088.0,12188.0,G.I. Generation,270300.0,,female,8.88,24.0,1989.0
12110,35-54 years,Ireland,Ireland1989,39285385088.0,12188.0,Silent,383000.0,,female,5.48,21.0,1989.0
12111,75+ years,Ireland,Ireland1989,39285385088.0,12188.0,G.I. Generation,95000.0,,female,5.26,5.0,1989.0
12112,25-34 years,Ireland,Ireland1989,39285385088.0,12188.0,Boomers,242300.0,,female,3.3,8.0,1989.0
12113,15-24 years,Ireland,Ireland1989,39285385088.0,12188.0,Generation X,293600.0,,female,2.38,7.0,1989.0
12114,5-14 years,Ireland,Ireland1989,39285385088.0,12188.0,Generation X,333700.0,,female,0.0,0.0,1989.0
